type
["Park","CulturalSite","ParkAndGarden","PlaceOfInterest","PointOfInterest","urn:resource",""]
["Hotel","LodgingBusiness","Accommodation","Hotel","HotelTrade","PlaceOfInterest","PointOfInterest","urn:resource",""]
["LocalBusiness","BoutiqueOrLocalShop","PlaceOfInterest","PointOfInterest","Store","urn:resource",""]
["FoodEstablishment","Restaurant","FoodEstablishment","PlaceOfInterest","PointOfInterest","Restaurant","urn:resource",""]
["Park","CulturalSite","ParkAndGarden","PlaceOfInterest","PointOfInterest","urn:resource",""]
["LocalBusiness","ArtGalleryOrExhibitionGallery","PlaceOfInterest","PointOfInterest","SportsAndLeisurePlace","Store","urn:resource",""]
["LocalBusiness","Museum","CulturalSite","Museum","PlaceOfInterest","PointOfInterest","urn:resource",""]
["Hotel","LodgingBusiness","Accommodation","Hotel","HotelTrade","PlaceOfInterest","PointOfInterest","urn:resource",""]
["FoodEstablishment","IceCreamShop","FoodEstablishment","IceCreamShop","PlaceOfInterest","PointOfInterest","urn:resource",""]
["CulturalSite","PlaceOfInterest","PointOfInterest","ReligiousSite","urn:resource",""]
["CulturalSite","PlaceOfInterest","PointOfInterest","urn:resource",""]
["FoodEstablishment","Restaurant","FoodEstablishment","PlaceOfInterest","PointOfInterest","Restaurant","urn:resource",""]
["Hotel","LodgingBusiness","Accommodation","Hotel","HotelTrade","PlaceOfInterest","PointOfInterest","urn:resource",""]
["PlaceOfInterest","PointOfInterest","SportsAndLeisurePlace","urn:resource",""]
["FoodEstablishment","Winery","BistroOrWineBar","FoodEstablishment","PlaceOfInterest","PointOfInterest","urn:resource",""]
["FoodEstablishment","Restaurant","BrasserieOrTavern","FoodEstablishment","PlaceOfInterest","PointOfInterest","Restaurant","urn:resource",""]
["FastFoodRestaurant","FoodEstablishment","FastFoodRestaurant","FoodEstablishment","PlaceOfInterest","PointOfInterest","urn:resource",""]
["LocalBusiness","BoutiqueOrLocalShop","PlaceOfInterest","PointOfInterest","Store","urn:resource",""]
["FoodEstablishment","Winery","BistroOrWineBar","FoodEstablishment","PlaceOfInterest","PointOfInterest","urn:resource",""]
["Park","CulturalSite","ParkAndGarden","PlaceOfInterest","PointOfInterest","urn:resource",""]
